Log_ID,Customer_ID,Channel_Name,Program_Genre,Device_Type,Network_Type,View_Duration_Mins,Stream_Quality,Video_Resolution,Buffering_Events,Start_Time,End_Time,Timestamp,Content_Type,Playback_Speed,Subtitles_Enabled,Closed_Captions_Enabled,DVR_Playback,Skip_Ads,User_Rating,Autoplay_Triggered
3001,5568,ESPN,Talk Show,Mobile App,Mobile Network,81,HD,2160p,11.0,2025-05-07 00:35:39.452582,2025-03-20 03:09:39.452582,2026-02-09 03:56:39.452582,Live,2x,False,False,False,False,2.0,False
3002,9530,ABC,Comedy,Tablet,Cellular,223,SD,480p,12.0,2026-03-03 19:17:39.452582,2025-08-29 07:19:39.452582,2025-10-08 19:00:39.452582,Live,1x,False,False,False,True,,True
3003,12045,AMC,Movie,Set-top Box,Guest WiFi,33,HD,2160p,10.0,2025-09-09 03:14:39.452582,2025-12-12 10:21:39.452582,2025-12-07 15:01:39.452582,Live,2x,False,True,True,True,1.0,False
3004,12813,AMC,Drama,Smart TV,Home WiFi,99,SD,720p,7.0,2025-10-03 09:14:39.452582,2025-10-06 12:36:39.452582,2026-03-11 16:44:39.452582,Recorded,0.5x,False,False,True,False,,False
3005,8147,Showtime,Thriller,Laptop,Cellular,174,4K,480p,6.0,2025-12-29 20:40:39.452582,2025-12-14 02:04:39.452582,2025-10-16 11:47:39.452582,Recorded,2x,False,True,True,False,,True
3006,6651,Local Channel,Animation,Mobile App,Mobile Network,57,SD,2160p,8.0,2025-09-29 23:46:39.452582,2025-11-04 00:57:39.452582,2025-06-25 09:06:39.452582,On-Demand,2x,False,False,False,False,,False
3007,7332,Netflix,Reality TV,Tablet,Cellular,195,SD,480p,5.0,2026-02-24 04:28:39.452582,2025-11-28 09:56:39.452582,2026-02-15 14:30:39.452582,Recorded,0.5x,False,False,False,False,,False
3008,11988,HBO,Animation,Tablet,Mobile Network,70,HD,720p,10.0,2026-02-05 05:10:39.452582,2025-07-04 07:39:39.452582,2025-12-06 09:33:39.452582,Recorded,0.5x,True,True,True,True,4.0,True
3009,12003,HGTV,Drama,Mobile App,Home WiFi,133,SD,480p,10.0,2025-10-05 12:21:39.452582,2025-04-24 08:02:39.452582,2025-08-16 02:13:39.452582,Live,0.5x,True,False,False,True,5.0,False
3010,2902,HBO,Documentary,Mobile App,Mobile Network,176,SD,2160p,10.0,2025-05-24 01:43:39.452582,2025-06-09 08:00:39.452582,2025-10-19 04:20:39.452582,On-Demand,1x,True,True,False,False,4.0,True
