Program_Genre,Channel_Name,Device_Type,Stream_Quality,Total_View_Duration_Mins,Total_Engagement_Hours,Average_View_Duration_Mins,Total_Views,Unique_Customer_Count,Avg_Buffering_Events,Avg_User_Rating,Quality_Satisfaction,Engagement_Score,Popularity_Tier,Customer_Penetration,Genre_Strength_Index,Device_Adoption_Index,Content_Health,Viewing_Frequency,Content_Reach_Score,Ad_Opportunity_Score
Animation,Abc,Laptop,4K,837,13.95,93.0,9,9,9.444444444444445,3.0,Poor,59,Viral,50,99,100,Healthy,10,34,38
Animation,Abc,Laptop,HD,768,12.8,153.6,5,5,6.8,3.2,Poor,59,Low,27,99,100,Healthy,10,20,14
Animation,Abc,Laptop,SD,1496,24.933333333333334,166.22222222222223,9,9,6.777777777777778,3.4444444444444446,Poor,69,Viral,50,99,100,Healthy,10,34,36
Animation,Abc,Mobile App,4K,1053,17.55,150.42857142857142,7,7,7.067285223367698,3.0,Poor,62,High,38,99,96,Healthy,10,26,26
Animation,Abc,Mobile App,HD,686,11.433333333333334,85.75,8,8,7.0,2.625,Poor,54,High,44,99,96,Healthy,10,30,33
Animation,Abc,Mobile App,SD,1129,18.816666666666666,125.44444444444444,9,9,7.444444444444445,3.3333333333333335,Poor,64,Viral,50,99,96,Healthy,10,34,36
Animation,Abc,Set-Top Box,4K,681,11.35,136.2,5,5,7.4,3.4,Poor,59,Low,27,99,99,Healthy,10,20,14
Animation,Abc,Set-Top Box,HD,943,15.716666666666667,104.77777777777777,9,9,8.0,2.7777777777777777,Poor,59,Viral,50,99,99,Healthy,10,34,38
Animation,Abc,Set-Top Box,SD,380,6.333333333333333,126.66666666666667,3,3,5.666666666666667,2.3333333333333335,Poor,46,Low,16,99,99,At_Risk,10,13,7
Animation,Abc,Smart Tv,4K,1181,19.683333333333334,107.36363636363636,11,11,9.181818181818182,3.090909090909091,Poor,63,Viral,61,99,95,Healthy,10,40,48
Animation,Abc,Smart Tv,HD,864,14.4,86.4,10,10,5.9,3.3,Poor,61,Viral,55,99,95,Healthy,10,37,42
Animation,Abc,Smart Tv,SD,267,4.45,66.75,4,4,6.5,3.25,Poor,48,Low,22,99,95,At_Risk,10,17,9
Animation,Abc,Tablet,4K,769,12.816666666666666,128.16666666666666,6,6,9.5,2.3333333333333335,Poor,53,Medium,33,99,96,Healthy,10,23,23
Animation,Abc,Tablet,HD,1145,19.083333333333332,127.22222222222223,9,9,4.888888888888889,3.5555555555555554,Fair,66,Viral,50,99,96,Healthy,10,34,35
Animation,Abc,Tablet,SD,637,10.616666666666667,159.25,4,4,7.0,2.75,Poor,55,Low,22,99,96,Healthy,10,17,11
Animation,Amc,Laptop,4K,1201,20.016666666666666,120.1,10,10,7.747099656357389,3.0,Poor,63,Viral,55,99,100,Healthy,10,37,43
Animation,Amc,Laptop,HD,724,12.066666666666666,144.8,5,5,5.2,3.4,Poor,60,Low,27,99,100,Healthy,10,20,14
Animation,Amc,Laptop,SD,512,8.533333333333333,170.66666666666666,3,3,6.666666666666667,3.0,Poor,54,Low,16,99,100,Healthy,10,13,4
Animation,Amc,Mobile App,4K,574,9.566666666666666,143.5,4,4,8.367749140893471,3.25,Poor,56,Low,22,99,96,Healthy,10,17,9
Animation,Amc,Mobile App,HD,510,8.5,102.0,5,5,7.8,2.6,Poor,50,Low,27,99,96,Healthy,10,20,17
Animation,Amc,Mobile App,SD,925,15.416666666666666,115.625,8,8,10.625,2.5,Poor,57,High,44,99,96,Healthy,10,30,34
Animation,Amc,Set-Top Box,4K,1536,25.6,153.6,10,10,9.4,2.8,Poor,65,Viral,55,99,99,Healthy,10,37,44
Animation,Amc,Set-Top Box,HD,1536,25.6,139.63636363636363,11,11,7.497363323961263,2.272727272727273,Poor,62,Viral,61,99,99,Healthy,10,40,52
Animation,Amc,Set-Top Box,SD,795,13.25,99.375,8,8,6.625,3.25,Poor,59,High,44,99,99,Healthy,10,30,31
Animation,Amc,Smart Tv,4K,953,15.883333333333333,119.125,8,8,7.625,3.0,Poor,60,High,44,99,95,Healthy,10,30,32
Animation,Amc,Smart Tv,HD,1414,23.566666666666666,141.4,10,10,7.5,3.2,Poor,66,Viral,55,99,95,Healthy,10,37,42
Animation,Amc,Smart Tv,SD,560,9.333333333333334,112.0,5,5,9.0,3.0,Poor,54,Low,27,99,95,Healthy,10,20,15
Animation,Amc,Tablet,4K,838,13.966666666666667,119.71428571428571,7,7,8.571428571428571,3.0,Poor,58,High,38,99,96,Healthy,10,26,26
Animation,Amc,Tablet,HD,1031,17.183333333333334,147.28571428571428,7,7,9.067285223367698,2.2857142857142856,Poor,57,High,38,99,96,Healthy,10,26,29
Animation,Amc,Tablet,SD,374,6.233333333333333,124.66666666666667,3,3,9.333333333333334,4.333333333333333,Poor,58,Low,16,99,96,Healthy,10,13,0
Animation,Cbs,Laptop,4K,619,10.316666666666666,154.75,4,4,6.617749140893471,3.75,Poor,60,Low,22,99,100,Healthy,10,17,7
Animation,Cbs,Laptop,HD,784,13.066666666666666,98.0,8,8,7.875,2.625,Poor,55,High,44,99,100,Healthy,10,30,33
Animation,Cbs,Laptop,SD,1590,26.5,144.54545454545453,11,11,9.636363636363637,2.272727272727273,Poor,62,Viral,61,99,100,Healthy,10,40,52
Animation,Cbs,Mobile App,4K,423,7.05,84.6,5,5,8.694199312714776,3.2,Poor,52,Low,27,99,96,Healthy,10,20,14
Animation,Cbs,Mobile App,HD,669,11.15,133.8,5,5,7.0,2.8,Poor,55,Low,27,99,96,Healthy,10,20,16
Animation,Cbs,Mobile App,SD,664,11.066666666666666,94.85714285714286,7,7,6.9244280805105545,3.4285714285714284,Poor,58,High,38,99,96,Healthy,10,26,25
Animation,Cbs,Set-Top Box,4K,419,6.983333333333333,83.8,5,5,6.4,3.4,Poor,53,Low,27,99,99,Healthy,10,20,14
Animation,Cbs,Set-Top Box,HD,502,8.366666666666667,125.5,4,4,6.25,4.25,Poor,60,Low,22,99,99,Healthy,10,17,5
Animation,Cbs,Set-Top Box,SD,1495,24.916666666666668,186.875,8,8,6.0,3.375,Poor,69,High,44,99,99,Healthy,10,30,30
Animation,Cbs,Smart Tv,4K,652,10.866666666666667,130.4,5,5,8.6,3.4,Poor,58,Low,27,99,95,Healthy,10,20,14
Animation,Cbs,Smart Tv,HD,1065,17.75,133.125,8,8,8.375,2.75,Poor,60,High,44,99,95,Healthy,10,30,33
Animation,Cbs,Smart Tv,SD,688,11.466666666666667,114.66666666666667,6,6,6.0,2.5,Poor,53,Medium,33,99,95,Healthy,10,23,23
Animation,Cbs,Tablet,4K,650,10.833333333333334,108.33333333333333,6,6,6.666666666666667,3.3333333333333335,Poor,57,Medium,33,99,96,Healthy,10,23,19
Animation,Cbs,Tablet,HD,933,15.55,155.5,6,6,7.666666666666667,2.5,Poor,57,Medium,33,99,96,Healthy,10,23,23
Animation,Cbs,Tablet,SD,163,2.716666666666667,54.333333333333336,3,3,9.0,1.3333333333333333,Poor,32,Low,16,99,96,At_Risk,10,13,11
Animation,Cnn,Laptop,4K,947,15.783333333333333,105.22222222222223,9,9,7.385666284841542,2.7777777777777777,Poor,59,Viral,50,99,100,Healthy,10,34,38
Animation,Cnn,Laptop,HD,1324,22.066666666666666,132.4,10,10,9.2,2.9,Poor,63,Viral,55,99,100,Healthy,10,37,43
Animation,Cnn,Laptop,SD,967,16.116666666666667,138.14285714285714,7,7,4.285714285714286,2.2857142857142856,Fair,56,High,38,99,100,Healthy,10,26,29
Animation,Cnn,Mobile App,4K,446,7.433333333333334,89.2,5,5,12.2,3.8,Poor,56,Low,27,99,96,Healthy,10,20,12
Animation,Cnn,Mobile App,HD,354,5.9,177.0,2,2,12.0,3.5,Poor,54,Low,11,99,96,Healthy,10,10,0
Animation,Cnn,Mobile App,SD,925,15.416666666666666,102.77777777777777,9,9,6.333333333333333,3.4444444444444446,Poor,62,Viral,50,99,96,Healthy,10,34,36
Animation,Cnn,Set-Top Box,4K,225,3.75,112.5,2,2,9.5,5.0,Poor,56,Low,11,99,99,Healthy,10,10,0
Animation,Cnn,Set-Top Box,HD,519,8.65,173.0,3,3,10.0,3.6666666666666665,Poor,59,Low,16,99,99,Healthy,10,13,1
Animation,Cnn,Set-Top Box,SD,536,8.933333333333334,134.0,4,4,10.25,2.75,Poor,52,Low,22,99,99,Healthy,10,17,11
Animation,Cnn,Smart Tv,4K,999,16.65,99.9,10,10,7.9,2.9,Poor,60,Viral,55,99,95,Healthy,10,37,43
Animation,Cnn,Smart Tv,HD,748,12.466666666666667,93.5,8,8,8.875,2.875,Poor,56,High,44,99,95,Healthy,10,30,32
Animation,Cnn,Smart Tv,SD,867,14.45,108.375,8,8,9.375,2.625,Poor,57,High,44,99,95,Healthy,10,30,33
Animation,Cnn,Tablet,4K,684,11.4,114.0,6,6,8.333333333333334,3.1666666666666665,Poor,57,Medium,33,99,96,Healthy,10,23,20
Animation,Cnn,Tablet,HD,529,8.816666666666666,88.16666666666667,6,6,7.666666666666667,3.0,Poor,53,Medium,33,99,96,Healthy,10,23,21
Animation,Cnn,Tablet,SD,396,6.6,79.2,5,5,9.2,3.0,Poor,50,Low,27,99,96,Healthy,10,20,15
Animation,Discovery Channel,Laptop,4K,927,15.45,154.5,6,6,10.666666666666666,3.0,Poor,60,Medium,33,99,100,Healthy,10,23,21
Animation,Discovery Channel,Laptop,HD,937,15.616666666666667,117.125,8,8,7.625,2.375,Poor,56,High,44,99,100,Healthy,10,30,34
Animation,Discovery Channel,Laptop,SD,1237,20.616666666666667,176.71428571428572,7,7,6.781570937653412,3.142857142857143,Poor,65,High,38,99,100,Healthy,10,26,26
Animation,Discovery Channel,Mobile App,4K,1218,20.3,135.33333333333334,9,9,8.777777777777779,2.7777777777777777,Poor,62,Viral,50,99,96,Healthy,10,34,38
Animation,Discovery Channel,Mobile App,HD,1054,17.566666666666666,117.11111111111111,9,9,7.444444444444445,3.0,Poor,61,Viral,50,99,96,Healthy,10,34,38
Animation,Discovery Channel,Mobile App,SD,478,7.966666666666667,119.5,4,4,7.5,3.75,Poor,57,Low,22,99,96,Healthy,10,17,7
Animation,Discovery Channel,Set-Top Box,4K,1119,18.65,159.85714285714286,7,7,5.9244280805105545,2.857142857142857,Poor,62,High,38,99,99,Healthy,10,26,27
Animation,Discovery Channel,Set-Top Box,HD,1704,28.4,170.4,10,10,6.647099656357388,3.1,Poor,69,Viral,55,99,99,Healthy,10,37,43
Animation,Discovery Channel,Set-Top Box,SD,1051,17.516666666666666,116.77777777777777,9,9,6.8301107292859875,2.111111111111111,Poor,56,Viral,50,99,99,Healthy,10,34,41
Animation,Discovery Channel,Smart Tv,4K,321,5.35,160.5,2,2,4.5,3.0,Fair,49,Low,11,99,95,At_Risk,10,10,0
Animation,Discovery Channel,Smart Tv,HD,1507,25.116666666666667,137.0,11,11,6.63109028428616,3.4545454545454546,Poor,68,Viral,61,99,95,Healthy,10,40,47
Animation,Discovery Channel,Smart Tv,SD,325,5.416666666666667,108.33333333333333,3,3,9.333333333333334,3.3333333333333335,Poor,50,Low,16,99,95,Healthy,10,13,3
Animation,Discovery Channel,Tablet,4K,1085,18.083333333333332,135.625,8,8,8.875,2.5,Poor,59,High,44,99,96,Healthy,10,30,34
Animation,Discovery Channel,Tablet,HD,1201,20.016666666666666,150.125,8,8,8.933874570446736,2.625,Poor,61,High,44,99,96,Healthy,10,30,33
Animation,Discovery Channel,Tablet,SD,1131,18.85,141.375,8,8,7.875,2.625,Poor,60,High,44,99,96,Healthy,10,30,33
Animation,Disney+,Laptop,4K,1091,18.183333333333334,121.22222222222223,9,9,9.444444444444445,3.2222222222222223,Poor,63,Viral,50,99,100,Healthy,10,34,37
Animation,Disney+,Laptop,HD,833,13.883333333333333,119.0,7,7,6.714285714285714,2.142857142857143,Poor,53,High,38,99,100,Healthy,10,26,30
Animation,Disney+,Laptop,SD,650,10.833333333333334,130.0,5,5,6.4,2.8,Poor,54,Low,27,99,100,Healthy,10,20,16
