Ticket_ID,Customer_ID,Equipment_Model,Issue_Category,Priority_Level,Status,Department,Technician_Assigned,Overall_Performance_Score,Performance_Tier,Created_Date,Resolution_Time_Hrs,Resolution_Efficiency,Issue_Resolution_Time,Signal_Quality,Reliability_Index,Customer_Satisfaction_Rating,Escalation_Flag,First_Contact_Resolution,Remote_Resolution_Attempted,Cost_Of_Resolution,Issue_Impact_Score
2001,5213,Hopper 2,Hardware Failure,Critical,Resolved,Installation,Rebecca Clayton,52,Developing,2024-11-03 12:36:38.476169,48,Low,Medium_72h,Fair,32,3.0,False,True,False,77.59,50
2002,10002,Hopper 2,Installation,Critical,On Hold,Installation,Shawn Dennis,35,Developing,2024-11-23 12:36:38.476169,44,Low,Medium_72h,Excellent,32,1.6,False,False,True,1.88,50
2003,5439,Outdoor Dish,Hardware Failure,Low,Resolved,Network Operations,Carol Harper,48,Developing,2026-01-26 12:36:38.476169,61,Low,Medium_72h,Good,30,2.5,True,True,False,412.37,50
2004,10265,Joey,Activation,High,Resolved,Technical Support,Brittany Bowers,51,Developing,2026-02-10 12:36:38.476169,60,Low,Medium_72h,Poor,31,3.0,True,True,True,458.81,50
2005,10259,4K Joey,Billing,High,Clsd,Sales,Tammy Jensen,30,Developing,2025-12-25 12:36:38.476169,54,Low,Medium_72h,Good,31,2.5,False,False,True,257.12,50
2006,7797,Wally,Activation,Critical,Resolved,Equipment Support,Yvette Williams,35,Developing,2024-03-30 12:36:38.476169,25,High,Medium_72h,Excellent,31,2.2,True,False,True,363.75,50
2007,8084,Super Joey,Installation,Medium,In Progress,Billing,Erica Roman,33,Developing,2024-10-29 12:36:38.476169,16,High,High_24h,Poor,31,1.5,False,False,True,374.77,50
2008,7863,Hopper 2,Cancellation,Medium,Open,Installation,Randy Gonzales Dvm,49,Developing,2024-04-07 12:36:38.476169,19,High,High_24h,Good,32,3.4,True,False,False,235.05,50
2009,3938,Outdoor Dish,Installation,High,Open,Equipment Support,Leslie Costa,69,Developing,2026-02-27 12:36:38.476169,35,High,Medium_72h,Fair,30,3.2,True,True,True,184.39,50
2010,10396,Hopper 3,Signal Loss,Low,Closed,Installation,Kathleen Franklin,64,Developing,2024-11-15 12:36:38.476169,51,Low,Medium_72h,Excellent,28,2.8,True,True,False,60.53,50
2011,9454,Joey,Remote Pairing,High,In Progress,Technical Support,Anthony Frost,66,Developing,2024-07-23 12:36:38.476169,33,High,Medium_72h,Fair,31,3.6,True,True,True,396.45,50
2012,1554,Hopper 2,Activation,Medium,Closed,Sales,Ryan Wright,25,Developing,2025-12-28 12:36:38.476169,59,Low,Medium_72h,Good,32,1.3,False,False,False,93.1,50
2013,7034,Hopper 3,Upgrade,High,Resolved,Sales,Brian Huffman,26,Developing,2026-01-14 12:36:38.476169,30,High,Medium_72h,Poor,28,1.2,True,False,False,373.68,50
2014,3966,Wally,Remote Pairing,High,Resolved,Billing,Unassigned,53,Developing,2025-02-08 12:36:38.476169,16,High,High_24h,Good,31,5.0,True,True,True,65.7,50
2015,4778,Joey,Upgrade,High,On Hold,Billing,Katherine May,44,Developing,2024-12-21 12:36:38.476169,45,Low,Medium_72h,Excellent,31,4.1,False,False,False,269.09,50
2016,9041,Hopper 3,Cancellation,Medium,In Progress,Network Operations,Carla Douglas,38,Developing,2026-03-13 12:36:38.476169,58,Low,Medium_72h,Fair,28,4.3,True,False,False,373.72,50
2017,7059,Super Joey,Signal Loss,Medium,Open,Equipment Support,Ariana Kirby,58,Developing,2024-10-08 12:36:38.476169,31,High,Medium_72h,Good,31,1.3,False,True,True,163.26,50
2018,3582,Hopper 2,Installation,Low,Closed,Sales,Marie Taylor,53,Developing,2024-07-20 12:36:38.476169,9,High,High_24h,Poor,32,3.7,False,False,False,287.41,50
2019,2698,Joey,Installation,Medium,Resolved,Technical Support,Eric Leach,65,Developing,2025-02-08 12:36:38.476169,29,High,Medium_72h,Excellent,31,3.0,False,True,False,341.66,50
2020,7024,Hopper 3,Signal Loss,Critical,Closed,Equipment Support,Jacqueline Rhodes,74,Proficient,2025-02-01 12:36:38.476169,19,High,High_24h,Good,28,2.5,False,True,False,41.19,50
2021,9779,Outdoor Dish,Installation,High,Resolved,Installation,Nathan Kim,76,Proficient,2025-03-03 12:36:38.476169,20,High,High_24h,Poor,30,4.0,True,True,False,306.31,50
2022,9023,Super Joey,Remote Pairing,Low,Clsd,Equipment Support,Cindy Thomas,75,Proficient,2025-10-21 12:36:38.476169,29,High,Medium_72h,Poor,31,4.1,False,True,True,248.17,50
