Log_ID,Customer_ID,Channel_Name,Program_Genre,Device_Type,Network_Type,View_Duration_Mins,Stream_Quality,Video_Resolution,Buffering_Events,Start_Time,End_Time,Timestamp,Content_Type,Playback_Speed,Subtitles_Enabled,Closed_Captions_Enabled,DVR_Playback,Skip_Ads,User_Rating,Autoplay_Triggered
3001,5568,Espn,Talk Show,Mobile App,Mobile Network,81,HD,2160P,11.0,2025-05-07 00:35:39.452582,2025-03-20 03:09:39.452582,2026-02-09 03:56:39.452582,Live,2x,False,False,False,False,2.0,False
3002,9530,Abc,Comedy,Tablet,Cellular,223,SD,480P,12.0,2026-03-03 19:17:39.452582,2025-08-29 07:19:39.452582,2025-10-08 19:00:39.452582,Live,1x,False,False,False,True,3.0,True
3003,12045,Amc,Movie,Set-Top Box,Guest WiFi,33,HD,2160P,10.0,2025-09-09 03:14:39.452582,2025-12-12 10:21:39.452582,2025-12-07 15:01:39.452582,Live,2x,False,True,True,True,1.0,False
3004,12813,Amc,Drama,Smart Tv,Home WiFi,99,SD,720P,7.0,2025-10-03 09:14:39.452582,2025-10-06 12:36:39.452582,2026-03-11 16:44:39.452582,Recorded,0.5x,False,False,True,False,3.0,False
3005,8147,Showtime,Thriller,Laptop,Cellular,174,4K,480P,6.0,2025-12-29 20:40:39.452582,2025-12-14 02:04:39.452582,2025-10-16 11:47:39.452582,Recorded,2x,False,True,True,False,3.0,True
3006,6651,Local Channel,Animation,Mobile App,Mobile Network,57,SD,2160P,8.0,2025-09-29 23:46:39.452582,2025-11-04 00:57:39.452582,2025-06-25 09:06:39.452582,On-Demand,2x,False,False,False,False,3.0,False
3007,7332,Netflix,Reality Tv,Tablet,Cellular,195,SD,480P,5.0,2026-02-24 04:28:39.452582,2025-11-28 09:56:39.452582,2026-02-15 14:30:39.452582,Recorded,0.5x,False,False,False,False,3.0,False
3008,11988,Hbo,Animation,Tablet,Mobile Network,70,HD,720P,10.0,2026-02-05 05:10:39.452582,2025-07-04 07:39:39.452582,2025-12-06 09:33:39.452582,Recorded,0.5x,True,True,True,True,4.0,True
3009,12003,Hgtv,Drama,Mobile App,Home WiFi,133,SD,480P,10.0,2025-10-05 12:21:39.452582,2025-04-24 08:02:39.452582,2025-08-16 02:13:39.452582,Live,0.5x,True,False,False,True,5.0,False
3010,2902,Hbo,Documentary,Mobile App,Mobile Network,176,SD,2160P,10.0,2025-05-24 01:43:39.452582,2025-06-09 08:00:39.452582,2025-10-19 04:20:39.452582,On-Demand,1x,True,True,False,False,4.0,True
3011,1326,Disney+,Reality Tv,Tablet,Cellular,138,4K,480P,1.0,2025-10-19 19:41:39.452582,2026-01-10 15:13:39.452582,2025-05-13 10:02:39.452582,On-Demand,1.5x,False,False,False,False,1.0,True
3012,7432,Hgtv,Documentary,Tablet,Cellular,183,HD,2160P,4.0,2026-01-14 14:35:39.452582,2025-08-31 20:20:39.452582,2026-01-16 05:45:39.452582,On-Demand,1.5x,True,False,False,False,5.0,True
3013,10779,Cnn,News,Laptop,Guest WiFi,86,HD,480P,3.0,2025-10-16 18:34:39.452582,2025-11-07 12:03:39.452582,2025-07-02 15:22:39.452582,On-Demand,1.5x,False,False,True,True,3.0,False
3014,1048,Local Channel,Reality Tv,Mobile App,Guest WiFi,69,SD,2160P,13.0,2026-01-08 16:15:39.452582,2025-08-07 05:54:39.452582,2025-06-13 10:42:39.452582,Recorded,2x,True,False,True,True,3.0,True
3015,8074,Espn,Thriller,Set-Top Box,Guest WiFi,68,4K,2160P,13.0,2025-09-07 12:59:39.452582,2025-03-27 02:11:39.452582,2025-08-13 21:57:39.452582,Recorded,1x,False,False,False,False,3.0,True
3016,2711,Hgtv,Comedy,Tablet,Mobile Network,148,SD,480P,3.0,2025-11-10 11:12:39.452582,2025-11-14 09:02:39.452582,2026-02-25 14:49:39.452582,On-Demand,1.5x,False,False,True,False,2.0,False
3017,5850,Local Channel,Documentary,Tablet,Cellular,76,SD,2160P,7.0,2025-11-14 07:41:39.452582,2025-06-21 18:33:39.452582,2025-06-14 11:34:39.452582,On-Demand,1x,True,True,True,True,1.0,True
3018,5677,Hbo,Animation,Set-Top Box,Home WiFi,173,SD,720P,3.0,2025-09-30 03:20:39.452582,2025-08-03 04:28:39.452582,2026-01-17 21:36:39.452582,Live,1.5x,True,True,True,True,2.0,False
3019,11054,Nbc,News,Tablet,Mobile Network,126,4K,720P,7.470996563573883,2025-06-10 09:05:39.452582,2026-02-16 09:02:39.452582,2025-06-03 07:51:39.452582,On-Demand,2x,True,True,False,False,3.0,False
3020,3179,Cnn,News,Laptop,Mobile Network,160,4K,2160P,5.0,2026-01-11 23:53:39.452582,2025-05-11 16:06:39.452582,2025-03-21 11:59:39.452582,Live,1.5x,True,False,True,False,4.0,False
3021,9728,Disney+,Animation,Smart Tv,Cellular,103,HD,720P,0.0,2025-09-09 04:14:39.452582,2025-11-19 18:28:39.452582,2025-08-11 20:48:39.452582,On-Demand,1.5x,False,True,False,False,1.0,False
3022,8784,Hgtv,Sports,Laptop,Mobile Network,116,SD,2160P,4.0,2026-02-02 18:07:39.452582,2025-11-17 12:53:39.452582,2025-10-30 19:41:39.452582,On-Demand,2x,False,True,False,False,1.0,True
3023,7338,Disney+,Reality Tv,Smart Tv,Home WiFi,128,4K,1080P,12.0,2025-06-06 23:55:39.452582,2025-05-16 04:25:39.452582,2026-03-09 14:34:39.452582,Live,1.5x,True,False,True,False,5.0,False
3024,4040,Hgtv,Thriller,Smart Tv,Cellular,33,SD,2160P,5.0,2025-11-12 03:42:39.452582,2026-03-01 07:35:39.452582,2025-09-05 06:25:39.452582,Recorded,1.5x,False,True,True,False,3.0,False
3025,8907,Disney+,Sports,Laptop,Guest WiFi,93,HD,720P,2.0,2025-05-18 12:03:39.452582,2025-05-01 21:18:39.452582,2025-08-12 15:18:39.452582,Live,0.5x,False,False,True,True,2.0,True
3026,2345,Nbc,Movie,Mobile App,Home WiFi,41,HD,2160P,9.0,2025-09-28 03:30:39.452582,2026-01-12 18:16:39.452582,2025-04-25 21:52:39.452582,On-Demand,1.5x,True,False,False,False,4.0,False
3027,10443,Cbs,Thriller,Smart Tv,Cellular,239,4K,1080P,1.0,2025-12-31 15:55:39.452582,2025-09-20 04:35:39.452582,2025-12-31 09:25:39.452582,On-Demand,1x,False,True,True,False,5.0,False
3028,2960,Disney+,Documentary,Laptop,Home WiFi,35,4K,1080P,0.0,2025-03-26 05:12:39.452582,2025-11-30 18:21:39.452582,2025-03-26 04:23:39.452582,On-Demand,1x,True,False,False,True,4.0,False
3029,3161,Cnn,Documentary,Set-Top Box,Mobile Network,155,SD,2160P,9.0,2025-10-23 08:44:39.452582,2025-06-22 11:23:39.452582,2025-07-05 13:51:39.452582,Recorded,0.5x,True,False,True,True,3.0,False
3030,11615,Cbs,Drama,Set-Top Box,Cellular,227,4K,1080P,14.0,2026-02-22 06:57:39.452582,2025-12-20 07:22:39.452582,2025-09-11 06:44:39.452582,On-Demand,0.5x,False,True,True,False,3.0,False
3031,3671,Disney+,Talk Show,Laptop,Home WiFi,23,HD,2160P,10.0,2025-04-04 02:06:39.452582,2025-12-21 06:49:39.452582,2026-03-12 23:54:39.452582,Recorded,1.5x,False,False,True,True,2.0,False
3032,12056,Amc,Movie,Tablet,Mobile Network,18,4K,480P,11.0,2025-08-22 03:58:39.452582,2025-11-16 16:33:39.452582,2025-03-24 20:18:39.452582,On-Demand,2x,True,True,True,True,1.0,False
3033,6120,Cnn,News,Laptop,Cellular,32,HD,480P,1.0,2025-11-22 14:21:39.452582,2025-03-16 14:40:39.452582,2025-07-04 17:30:39.452582,Recorded,1.5x,True,True,True,True,5.0,False
3034,6945,Nbc,Thriller,Set-Top Box,Cellular,77,4K,480P,10.0,2025-03-19 09:09:39.452582,2025-06-30 12:29:39.452582,2025-12-06 20:02:39.452582,Recorded,2x,False,False,True,False,4.0,False
3035,6086,Showtime,Talk Show,Tablet,Guest WiFi,120,SD,1080P,0.0,2025-05-02 06:48:39.452582,2025-07-10 18:07:39.452582,2025-12-05 18:10:39.452582,Live,2x,True,False,True,False,4.0,True
3036,1571,Fox News,Drama,Laptop,Mobile Network,31,4K,480P,7.470996563573883,2025-12-16 13:01:39.452582,2025-03-30 01:51:39.452582,2025-05-16 11:11:39.452582,On-Demand,0.5x,False,False,False,False,3.0,False
3037,11058,Netflix,Documentary,Laptop,Cellular,36,HD,480P,9.0,2025-08-11 17:23:39.452582,2025-03-31 06:49:39.452582,2025-07-04 06:30:39.452582,On-Demand,0.5x,False,True,False,False,2.0,False
3038,6575,Nbc,Reality Tv,Set-Top Box,Mobile Network,54,SD,1080P,3.0,2025-04-30 15:50:39.452582,2025-10-03 12:23:39.452582,2025-12-29 14:57:39.452582,Recorded,2x,False,False,True,True,1.0,True
3039,10833,Netflix,Talk Show,Set-Top Box,Home WiFi,191,HD,2160P,4.0,2025-11-30 06:55:39.452582,2026-02-08 14:32:39.452582,2025-07-12 08:45:39.452582,On-Demand,1x,False,False,True,False,4.0,False
3040,3380,Disney+,Reality Tv,Set-Top Box,Mobile Network,172,4K,480P,2.0,2026-01-18 18:11:39.452582,2025-10-01 19:24:39.452582,2025-03-14 03:42:39.452582,Recorded,2x,False,True,False,False,4.0,True
3041,2427,Netflix,Animation,Mobile App,Cellular,118,SD,1080P,15.0,2025-04-04 13:21:39.452582,2025-10-26 13:07:39.452582,2025-10-28 05:56:39.452582,On-Demand,1x,True,False,False,False,1.0,False
3042,5250,Espn,Talk Show,Mobile App,Home WiFi,212,4K,720P,11.0,2025-05-21 08:48:39.452582,2025-05-29 06:15:39.452582,2025-09-17 00:45:39.452582,Recorded,1x,True,True,True,True,3.0,False
3043,3971,Showtime,Movie,Smart Tv,Guest WiFi,110,4K,2160P,6.0,2025-11-27 15:17:39.452582,2025-05-10 06:59:39.452582,2025-12-31 19:37:39.452582,On-Demand,2x,False,True,True,True,3.0,False
3044,5855,Discovery Channel,Reality Tv,Mobile App,Guest WiFi,200,SD,2160P,4.0,2026-01-25 10:54:39.452582,2025-10-03 15:53:39.452582,2026-03-10 19:07:39.452582,Recorded,0.5x,False,False,True,True,2.0,False
3045,8874,Amc,News,Mobile App,Home WiFi,142,HD,480P,10.0,2026-01-25 21:50:39.452582,2025-08-03 08:48:39.452582,2025-03-26 22:41:39.452582,Live,0.5x,False,True,True,True,1.0,False
3046,4326,Cnn,Reality Tv,Mobile App,Guest WiFi,65,SD,2160P,11.0,2025-07-16 16:04:39.452582,2025-06-15 23:24:39.452582,2025-03-21 22:39:39.452582,Live,0.5x,False,False,False,True,2.0,True
3047,3736,Cbs,Comedy,Smart Tv,Guest WiFi,166,4K,480P,2.0,2026-02-19 23:50:39.452582,2025-11-15 06:26:39.452582,2025-05-20 06:47:39.452582,On-Demand,1x,False,True,False,True,1.0,False
3048,9590,Cnn,Thriller,Laptop,Guest WiFi,145,HD,2160P,7.470996563573883,2026-02-26 10:27:39.452582,2025-06-17 08:11:39.452582,2025-06-08 17:55:39.452582,Live,0.5x,True,False,False,True,3.0,True
3049,1112,Showtime,Movie,Set-Top Box,Mobile Network,13,SD,1080P,11.0,2025-12-02 17:14:39.452582,2025-08-14 12:22:39.452582,2025-08-19 06:56:39.452582,On-Demand,1x,False,True,False,True,2.0,True
3050,7014,Hbo,Animation,Tablet,Guest WiFi,130,4K,2160P,11.0,2025-09-20 18:34:39.452582,2025-06-05 09:45:39.452582,2025-10-05 02:22:39.452582,On-Demand,0.5x,False,True,False,False,5.0,True
3051,1160,Espn,Comedy,Set-Top Box,Mobile Network,113,HD,720P,12.0,2026-02-28 13:20:39.452582,2025-10-08 06:57:39.452582,2025-05-13 07:53:39.452582,Live,1.5x,True,True,True,True,2.0,False
3052,5510,Abc,Animation,Mobile App,Guest WiFi,88,HD,720P,11.0,2025-06-29 12:52:39.452582,2025-08-09 00:20:39.452582,2026-02-07 11:27:39.452582,Recorded,1.5x,True,True,True,False,3.0,False
3053,12359,Fox News,Movie,Set-Top Box,Cellular,12,4K,1080P,11.0,2025-12-11 11:21:39.452582,2025-07-11 02:55:39.452582,2025-03-17 15:40:39.452582,Recorded,2x,False,False,True,False,1.0,True
3054,4804,Hgtv,Documentary,Set-Top Box,Home WiFi,149,HD,2160P,11.0,2025-10-21 19:22:39.452582,2025-11-17 06:44:39.452582,2025-12-01 01:19:39.452582,Recorded,0.5x,True,True,False,True,3.0,False
3055,10261,Amc,Thriller,Mobile App,Guest WiFi,88,SD,480P,4.0,2025-03-14 01:26:39.452582,2025-08-30 00:44:39.452582,2025-03-20 11:15:39.452582,On-Demand,1x,False,True,True,False,1.0,False
3056,5121,Cbs,Comedy,Set-Top Box,Mobile Network,136,SD,2160P,14.0,2025-12-24 04:17:39.452582,2026-03-11 14:17:39.452582,2025-08-06 10:35:39.452582,Live,1.5x,True,True,True,False,1.0,True
3057,5079,Netflix,Sports,Set-Top Box,Home WiFi,183,SD,720P,12.0,2025-11-11 07:56:39.452582,2025-11-08 06:44:39.452582,2025-10-12 22:57:39.452582,Recorded,1x,False,False,True,True,1.0,False
3058,3128,Espn,Drama,Smart Tv,Home WiFi,236,SD,480P,4.0,2025-07-30 06:56:39.452582,2026-03-12 01:59:39.452582,2025-12-30 10:24:39.452582,Recorded,2x,False,True,True,False,3.0,True
3059,9183,Disney+,Animation,Smart Tv,Home WiFi,115,SD,480P,12.0,2026-02-04 09:38:39.452582,2025-11-26 09:30:39.452582,2026-01-07 13:16:39.452582,Recorded,2x,True,True,False,True,5.0,True
3060,12899,Cnn,Sports,Set-Top Box,Cellular,173,SD,2160P,4.0,2025-05-10 22:41:39.452582,2026-01-27 16:09:39.452582,2026-01-02 04:34:39.452582,Live,1.5x,False,False,True,False,5.0,True
3061,4263,Local Channel,Drama,Mobile App,Mobile Network,55,HD,2160P,12.0,2025-08-30 03:56:39.452582,2025-06-02 05:02:39.452582,2025-08-26 17:17:39.452582,On-Demand,2x,False,True,True,True,1.0,True
3062,1796,Espn,Talk Show,Mobile App,Mobile Network,7,4K,480P,6.0,2026-01-19 21:33:39.452582,2025-06-19 22:09:39.452582,2025-05-25 16:11:39.452582,Live,1.5x,True,False,False,False,1.0,False
3063,8126,Netflix,Talk Show,Set-Top Box,Cellular,171,SD,720P,14.0,2025-05-14 18:56:39.452582,2025-10-28 07:16:39.452582,2026-03-09 01:58:39.452582,On-Demand,1x,True,True,False,False,4.0,False
3064,10337,Discovery Channel,Series,Mobile App,Mobile Network,173,SD,480P,14.0,2026-01-12 11:53:39.452582,2025-12-18 08:37:39.452582,2025-08-29 00:51:39.452582,Live,2x,False,True,True,True,3.0,True
3065,1437,Amc,Movie,Set-Top Box,Cellular,15,4K,1080P,2.0,2025-03-20 06:45:39.452582,2025-08-31 21:46:39.452582,2025-12-06 11:40:39.452582,Recorded,1.5x,False,True,True,True,2.0,True
3066,5183,Fox News,Drama,Mobile App,Home WiFi,25,HD,1080P,8.0,2025-04-17 04:33:39.452582,2025-12-25 08:55:39.452582,2025-04-01 07:48:39.452582,On-Demand,0.5x,False,False,True,False,3.0,True
3067,10488,Espn,Comedy,Tablet,Cellular,46,4K,1080P,1.0,2025-10-16 13:49:39.452582,2025-09-03 06:40:39.452582,2025-09-20 14:10:39.452582,Recorded,1.5x,False,False,False,False,1.0,True
3068,12436,Netflix,Series,Set-Top Box,Guest WiFi,40,4K,2160P,6.0,2025-10-23 00:17:39.452582,2025-07-16 06:25:39.452582,2025-08-25 21:57:39.452582,On-Demand,0.5x,False,False,True,True,1.0,True
3069,2751,Local Channel,Thriller,Set-Top Box,Home WiFi,146,4K,2160P,6.0,2025-07-29 23:51:39.452582,2025-12-14 00:07:39.452582,2026-02-22 17:46:39.452582,Live,2x,True,True,True,False,3.0,False
3070,9547,Hbo,Comedy,Tablet,Mobile Network,18,4K,480P,3.0,2025-09-21 02:07:39.452582,2025-03-17 00:53:39.452582,2025-05-13 11:01:39.452582,On-Demand,1x,False,True,False,True,3.0,True
3071,9116,Local Channel,News,Smart Tv,Mobile Network,20,SD,480P,9.0,2025-10-26 14:17:39.452582,2025-06-12 00:40:39.452582,2025-09-10 06:00:39.452582,On-Demand,1x,False,True,True,False,3.0,True
3072,2915,Nbc,Drama,Mobile App,Home WiFi,217,HD,1080P,13.0,2026-01-25 12:52:39.452582,2025-11-14 15:04:39.452582,2025-08-24 02:48:39.452582,On-Demand,2x,True,False,False,False,3.0,True
3073,1027,Nbc,Drama,Set-Top Box,Home WiFi,196,HD,2160P,10.0,2026-02-25 16:38:39.452582,2026-01-14 01:46:39.452582,2025-04-26 01:29:39.452582,On-Demand,0.5x,False,True,True,True,4.0,False
3074,6850,Abc,Animation,Mobile App,Mobile Network,62,HD,480P,5.0,2025-08-20 03:21:39.452582,2025-05-11 18:14:39.452582,2025-12-30 05:04:39.452582,Live,1.5x,False,True,False,False,4.0,False
3075,6998,Espn,Reality Tv,Set-Top Box,Guest WiFi,226,4K,1080P,10.0,2025-10-21 23:08:39.452582,2025-11-15 14:46:39.452582,2025-04-20 22:44:39.452582,Live,2x,True,True,True,False,4.0,True
3076,3329,Disney+,Thriller,Laptop,Guest WiFi,20,4K,480P,7.470996563573883,2025-11-13 18:04:39.452582,2025-12-18 22:31:39.452582,2025-04-18 23:46:39.452582,On-Demand,2x,False,True,False,False,4.0,False
3077,5230,Disney+,Sports,Smart Tv,Mobile Network,194,SD,1080P,14.0,2025-12-14 00:42:39.452582,2025-11-10 08:58:39.452582,2025-06-22 13:55:39.452582,On-Demand,0.5x,False,False,True,True,3.0,False
3078,10094,Cnn,Drama,Mobile App,Guest WiFi,39,4K,480P,4.0,2025-10-25 16:09:39.452582,2025-09-08 04:21:39.452582,2025-06-01 06:42:39.452582,Recorded,1.5x,False,True,False,True,1.0,False
3079,4394,Netflix,Movie,Tablet,Guest WiFi,106,SD,720P,4.0,2025-03-16 10:10:39.452582,2026-03-04 20:12:39.452582,2025-06-28 09:37:39.452582,Live,0.5x,True,True,False,True,5.0,False
3080,10288,Discovery Channel,Comedy,Laptop,Guest WiFi,220,HD,1080P,3.0,2025-10-31 14:02:39.452582,2025-12-31 07:56:39.452582,2025-04-18 18:16:39.452582,On-Demand,1.5x,True,False,True,True,4.0,False
3081,2432,Nbc,Drama,Set-Top Box,Cellular,154,4K,2160P,12.0,2025-12-05 22:28:39.452582,2025-07-12 18:49:39.452582,2026-01-09 17:10:39.452582,Recorded,1x,True,False,True,False,3.0,False
3082,9109,Showtime,Talk Show,Set-Top Box,Mobile Network,207,4K,720P,14.0,2025-06-20 21:32:39.452582,2025-05-09 12:16:39.452582,2025-08-14 11:37:39.452582,On-Demand,1x,False,False,False,False,3.0,True
