Ticket_ID,Customer_ID,Equipment_Model,Issue_Category,Priority_Level,Signal_Strength_dBm,Technician_Assigned,Department,Created_Date,Resolved_Date,Resolution_Time_Hrs,Status,Customer_Satisfaction_Rating,Escalation_Flag,First_Contact_Resolution,Technician_Expertise_Level,Remote_Resolution_Attempted,On_Site_Visit_Required,Cost_Of_Resolution,Parts_Replaced
2001,5213,Hopper 2,Hardware Failure,Critical,-79.0,Rebecca Clayton,Installation,2024-11-03 12:36:38.476169,2024-07-23 12:36:38.476169,48,Resolved,3.0,False,True,Senior,False,True,77.59,False
2002,10002,Hopper 2,Installation,Critical,-30.0,Shawn Dennis,Installation,2024-11-23 12:36:38.476169,2025-09-16 12:36:38.476169,44,On Hold,1.6,False,False,Senior,True,False,1.88,False
2003,5439,Outdoor Dish,Hardware Failure,Low,-64.0,Carol Harper,Network Operations,2026-01-26 12:36:38.476169,2025-04-30 12:36:38.476169,61,Resolved,2.5,True,True,Senior,False,True,412.37,True
2004,10265,Joey,Activation,High,-96.0,Brittany Bowers,Technical Support,2026-02-10 12:36:38.476169,2026-02-17 12:36:38.476169,60,Resolved,3.0,True,True,Senior,True,False,458.81,False
2005,10259,4K Joey,Billing,High,-57.0,Tammy Jensen,Sales,2025-12-25 12:36:38.476169,2024-04-17 12:36:38.476169,54,Clsd,2.5,False,False,Expert,True,False,257.12,False
2006,7797,Wally,Activation,Critical,-50.0,Yvette Williams,Equipment Support,2024-03-30 12:36:38.476169,2024-11-04 12:36:38.476169,25,Resolved,2.2,True,False,Senior,True,False,363.75,False
2007,8084,Super Joey,Installation,Medium,-86.0,Erica Roman,Billing,2024-10-29 12:36:38.476169,2024-12-17 12:36:38.476169,16,In Progress,1.5,False,False,Senior,True,False,374.77,False
2008,7863,Hopper 2,Cancellation,Medium,-59.0,Randy Gonzales Dvm,Installation,2024-04-07 12:36:38.476169,2025-10-20 12:36:38.476169,19,Open,3.4,True,False,Senior,False,False,235.05,True
2009,3938,Outdoor Dish,Installation,High,-78.0,Leslie Costa,Equipment Support,2026-02-27 12:36:38.476169,2024-10-28 12:36:38.476169,35,Open,3.2,True,True,Junior,True,False,184.39,False
2010,10396,Hopper 3,Signal Loss,Low,-48.0,Kathleen Franklin,Installation,2024-11-15 12:36:38.476169,2026-03-11 12:36:38.476169,51,Closed,2.8,True,True,Junior,False,False,60.53,True
2011,9454,Joey,Remote Pairing,High,-75.0,Anthony Frost,Technical Support,2024-07-23 12:36:38.476169,2025-02-14 12:36:38.476169,33,In Progress,3.6,True,True,Junior,True,True,396.45,True
2012,1554,Hopper 2,Activation,Medium,-64.93720823798627,Ryan Wright,Sales,2025-12-28 12:36:38.476169,2025-07-15 12:36:38.476169,59,Closed,1.3,False,False,Expert,False,False,93.1,False
2013,7034,Hopper 3,Upgrade,High,-96.0,Brian Huffman,Sales,2026-01-14 12:36:38.476169,2024-07-01 12:36:38.476169,30,Resolved,1.2,True,False,Junior,False,True,373.68,False
2014,3966,Wally,Remote Pairing,High,-52.0,Unassigned,Billing,2025-02-08 12:36:38.476169,2024-11-24 12:36:38.476169,16,Resolved,5.0,True,True,Expert,True,True,65.7,True
2015,4778,Joey,Upgrade,High,-39.0,Katherine May,Billing,2024-12-21 12:36:38.476169,2026-02-25 12:36:38.476169,45,On Hold,4.1,False,False,Expert,False,True,269.09,False
2016,9041,Hopper 3,Cancellation,Medium,-82.0,Carla Douglas,Network Operations,2026-03-13 12:36:38.476169,2024-07-03 12:36:38.476169,58,In Progress,4.3,True,False,Expert,False,True,373.72,False
2017,7059,Super Joey,Signal Loss,Medium,-61.0,Ariana Kirby,Equipment Support,2024-10-08 12:36:38.476169,2025-11-30 12:36:38.476169,31,Open,1.3,False,True,Expert,True,False,163.26,True
2018,3582,Hopper 2,Installation,Low,-93.0,Marie Taylor,Sales,2024-07-20 12:36:38.476169,2024-06-30 12:36:38.476169,9,Closed,3.7,False,False,Senior,False,False,287.41,False
2019,2698,Joey,Installation,Medium,-30.0,Eric Leach,Technical Support,2025-02-08 12:36:38.476169,2024-08-06 12:36:38.476169,29,Resolved,3.0,False,True,Junior,False,True,341.66,False
2020,7024,Hopper 3,Signal Loss,Critical,-52.0,Jacqueline Rhodes,Equipment Support,2025-02-01 12:36:38.476169,2025-06-30 12:36:38.476169,19,Closed,2.5,False,True,Expert,False,False,41.19,True
2021,9779,Outdoor Dish,Installation,High,-97.0,Nathan Kim,Installation,2025-03-03 12:36:38.476169,2024-03-25 12:36:38.476169,20,Resolved,4.0,True,True,Junior,False,False,306.31,True
2022,9023,Super Joey,Remote Pairing,Low,-92.0,Cindy Thomas,Equipment Support,2025-10-21 12:36:38.476169,2025-12-10 12:36:38.476169,29,Clsd,4.1,False,True,Expert,True,True,248.17,True
2023,10876,Wally,Cancellation,Medium,-91.0,Duane Garcia,Technical Support,2024-04-23 12:36:38.476169,2024-12-09 12:36:38.476169,69,Closed,1.8,False,False,Expert,True,True,113.86,False
2024,1966,4K Joey,Signal Loss,Medium,-68.0,Dana Gonzalez,Equipment Support,2024-09-24 12:36:38.476169,2025-09-01 12:36:38.476169,68,Closed,4.8,True,False,Junior,False,False,17.98,True
2025,2518,Joey,Activation,Medium,-64.0,Jessica Alvarado,Sales,2026-02-02 12:36:38.476169,2025-07-18 12:36:38.476169,37,In Progress,1.0,False,False,Junior,True,True,284.51,True
2026,5165,Outdoor Dish,Activation,Low,-41.0,Julie Hernandez,Sales,2025-11-11 12:36:38.476169,2025-06-21 12:36:38.476169,18,In Progress,2.1,True,True,Expert,False,True,52.61,False
2027,12090,Wally,Upgrade,High,-31.0,Cynthia West,Sales,2024-04-16 12:36:38.476169,2024-07-30 12:36:38.476169,10,Closed,3.5,True,False,Senior,False,False,189.33,False
2028,1928,Hopper 2,Billing,Critical,-45.0,Thomas Rangel,Installation,2024-05-31 12:36:38.476169,2025-12-06 12:36:38.476169,58,Clsd,2.6,True,False,Senior,True,True,394.55,True
2029,6150,Outdoor Dish,Activation,Medium,-49.0,Melanie Sweeney,Sales,2025-12-13 12:36:38.476169,2025-05-26 12:36:38.476169,64,Clsd,1.3,True,False,Junior,False,False,7.56,True
2030,6127,Super Joey,Activation,Medium,-69.0,Sean Parker,Technical Support,2024-03-28 12:36:38.476169,2026-02-27 12:36:38.476169,34,Open,4.2,False,True,Junior,False,True,169.66,False
2031,10377,Joey,Cancellation,High,-58.0,Rose Thornton,Equipment Support,2026-02-20 12:36:38.476169,2025-01-20 12:36:38.476169,69,Open,4.9,False,True,Expert,True,False,149.15,True
2032,2539,Hopper 2,Hardware Failure,High,-81.0,Matthew Martin,Equipment Support,2025-12-28 12:36:38.476169,2026-02-24 12:36:38.476169,71,Closed,2.2,True,False,Expert,True,False,77.23,True
2033,3221,Joey,Remote Pairing,Low,-48.0,Darren Smith,Technical Support,2024-05-09 12:36:38.476169,2026-01-01 12:36:38.476169,55,In Progress,2.6,False,True,Senior,False,False,284.02,True
2034,1396,Hopper 2,Activation,Critical,-97.0,John Pham,Installation,2024-06-04 12:36:38.476169,2024-06-28 12:36:38.476169,27,Resolved,1.7,True,True,Expert,True,False,130.61,False
2035,10471,Super Joey,Remote Pairing,High,-54.0,William Brooks,Network Operations,2024-06-14 12:36:38.476169,2024-08-10 12:36:38.476169,57,Clsd,1.7,False,False,Expert,False,False,74.54,False
2036,7180,Outdoor Dish,Activation,Medium,-78.0,Nicholas Gardner,Technical Support,2025-09-28 12:36:38.476169,2024-07-04 12:36:38.476169,22,Closed,4.0,False,True,Junior,False,False,149.61,False
2037,10239,Outdoor Dish,Signal Loss,Low,-44.0,Connie Gentry,Installation,2025-06-23 12:36:38.476169,2025-06-15 12:36:38.476169,59,Open,3.4,False,True,Senior,False,True,156.88,True
2038,8443,Hopper 2,Activation,Low,-91.0,Howard Reilly,Technical Support,2025-04-20 12:36:38.476169,2024-07-25 12:36:38.476169,31,In Progress,1.5,False,False,Expert,True,True,494.36,False
2039,6351,Super Joey,Installation,Low,-45.0,Andrew Clark,Billing,2025-08-23 12:36:38.476169,2024-10-30 12:36:38.476169,67,Clsd,3.6,True,True,Senior,False,True,405.27,False
2040,8563,Outdoor Dish,Signal Loss,Critical,-40.0,Nancy Cervantes,Billing,2025-11-30 12:36:38.476169,2025-07-18 12:36:38.476169,35,Closed,1.1,False,False,Junior,True,False,107.73,True
2041,7507,Hopper 2,Activation,High,-48.0,Darin Ward,Billing,2025-10-30 12:36:38.476169,2024-07-17 12:36:38.476169,68,Resolved,4.6,False,False,Senior,True,True,141.42,True
2042,4882,Hopper 2,Remote Pairing,Critical,-92.0,Alison Lyons,Equipment Support,2025-08-14 12:36:38.476169,2024-08-07 12:36:38.476169,41,In Progress,4.1,False,False,Expert,True,True,213.65,False
2043,5577,4K Joey,Cancellation,Critical,-34.0,Marissa Hernandez,Sales,2024-08-22 12:36:38.476169,2026-02-03 12:36:38.476169,7,Resolved,3.2,False,False,Senior,False,True,135.69,False
2044,11608,Hopper 2,Hardware Failure,High,-84.0,Charles Gregory,Equipment Support,2025-10-13 12:36:38.476169,2024-06-11 12:36:38.476169,30,Clsd,1.8,True,True,Junior,True,True,28.36,True
2045,11301,Super Joey,Installation,Critical,-44.0,Jamie Thompson,Network Operations,2024-11-19 12:36:38.476169,2024-11-29 12:36:38.476169,25,Closed,4.1,False,True,Expert,True,True,46.42,True
2046,6583,Outdoor Dish,Upgrade,High,-64.0,Jacqueline Ayala,Sales,2025-11-24 12:36:38.476169,2024-09-22 12:36:38.476169,71,In Progress,1.2,True,True,Expert,True,False,479.62,False
2047,8666,Wally,Billing,Critical,-34.0,Regina Patton,Installation,2025-05-09 12:36:38.476169,2025-12-11 12:36:38.476169,47,Resolved,3.0,False,False,Expert,True,True,168.46,False
2048,1176,Wally,Remote Pairing,Critical,-85.0,Brandon Robertson,Installation,2024-06-21 12:36:38.476169,2024-03-13 12:36:38.476169,27,Resolved,4.7,False,True,Junior,True,False,54.9,True
2049,6148,Super Joey,Activation,Low,-100.0,Mrs. Amy Johnson Md,Technical Support,2026-01-04 12:36:38.476169,2024-06-21 12:36:38.476169,36,Closed,4.1,False,False,Senior,True,True,300.45,False
2050,4302,Outdoor Dish,Remote Pairing,Critical,-46.0,Martin Gallegos,Network Operations,2025-04-30 12:36:38.476169,2025-02-24 12:36:38.476169,39,Open,3.7,False,False,Expert,True,False,473.77,True
2051,1792,Outdoor Dish,Signal Loss,Low,-91.0,Michelle Parker,Equipment Support,2026-01-09 12:36:38.476169,2025-06-06 12:36:38.476169,23,Closed,4.1,True,True,Senior,False,True,260.89,True
2052,10354,Super Joey,Signal Loss,Low,-86.0,Jeffery Watkins,Installation,2024-06-23 12:36:38.476169,2025-05-11 12:36:38.476169,27,Resolved,3.2,True,True,Junior,True,False,313.1,True
2053,8065,Joey,Activation,Critical,-97.0,Kimberly Keith,Equipment Support,2025-04-29 12:36:38.476169,2025-11-26 12:36:38.476169,35,Closed,1.3,False,False,Senior,True,True,49.0,True
2054,1824,Joey,Billing,Medium,-69.0,Thomas Austin,Billing,2025-03-18 12:36:38.476169,2026-02-01 12:36:38.476169,61,Closed,2.6,False,True,Expert,False,False,199.49,False
2055,4279,Outdoor Dish,Signal Loss,Low,-88.0,Jennifer Ross,Equipment Support,2025-11-23 12:36:38.476169,2025-08-28 12:36:38.476169,70,Closed,3.1,False,True,Senior,True,False,316.09,True
2056,1237,Hopper 2,Remote Pairing,Medium,-57.0,Timothy Lester,Billing,2024-04-12 12:36:38.476169,2024-11-03 12:36:38.476169,20,Clsd,1.7,True,True,Junior,False,False,305.4,False
2057,4956,Joey,Cancellation,Critical,-91.0,Jeffery Myers,Network Operations,2025-06-01 12:36:38.476169,2025-03-14 12:36:38.476169,44,Clsd,3.4,True,True,Junior,True,False,478.99,True
2058,11684,Joey,Upgrade,High,-77.0,Lisa Green,Network Operations,2025-09-20 12:36:38.476169,2025-04-24 12:36:38.476169,35,On Hold,2.0,True,False,Senior,False,False,98.35,False
2059,12913,Super Joey,Cancellation,Critical,-32.0,Amanda Chung,Billing,2025-03-18 12:36:38.476169,2025-11-14 12:36:38.476169,71,Closed,1.8,True,False,Senior,False,True,295.36,True
2060,4152,Hopper 3,Signal Loss,High,-43.0,Ann Patel,Network Operations,2025-06-13 12:36:38.476169,2024-08-05 12:36:38.476169,4,Closed,3.5,False,True,Expert,False,False,348.18,True
2061,10747,Wally,Remote Pairing,Medium,-64.93720823798627,Edward Wiley,Sales,2024-12-23 12:36:38.476169,2024-08-13 12:36:38.476169,45,Clsd,4.2,False,True,Expert,False,True,374.72,False
2062,3517,Wally,Installation,Critical,-54.0,Julia Wade,Billing,2025-06-23 12:36:38.476169,2024-05-18 12:36:38.476169,45,Clsd,1.4,True,True,Senior,True,False,46.88,True
2063,5278,Hopper 3,Signal Loss,Low,-77.0,John Dixon,Network Operations,2024-07-08 12:36:38.476169,2025-08-08 12:36:38.476169,22,Closed,2.5,True,True,Junior,False,False,151.68,False
2064,12059,Joey,Upgrade,High,-68.0,Michael Greene,Equipment Support,2024-08-30 12:36:38.476169,2026-02-17 12:36:38.476169,15,Closed,1.0,True,True,Junior,False,True,280.34,False
2065,7476,4K Joey,Hardware Failure,High,-92.0,Mary Richardson,Sales,2024-10-19 12:36:38.476169,2024-06-19 12:36:38.476169,35,In Progress,2.6,False,True,Expert,False,True,42.41,True
2066,3142,Wally,Cancellation,Critical,-64.93720823798627,Linda Williams,Billing,2024-12-10 12:36:38.476169,2024-08-07 12:36:38.476169,27,Closed,1.6,False,False,Junior,True,True,66.89,False
2067,6529,Hopper 2,Installation,Medium,-68.0,Christian Gonzalez,Billing,2025-05-26 12:36:38.476169,2025-05-02 12:36:38.476169,16,Resolved,2.6,False,False,Junior,True,False,246.06,False
2068,1576,Hopper 2,Upgrade,Critical,-64.93720823798627,Edward Williams,Technical Support,2024-10-20 12:36:38.476169,2024-04-26 12:36:38.476169,2,Resolved,3.0,False,True,Junior,False,False,276.69,False
2069,11770,4K Joey,Remote Pairing,Critical,-63.0,Daniel Lewis,Technical Support,2025-06-04 12:36:38.476169,2025-05-01 12:36:38.476169,55,Open,3.7,True,False,Expert,True,True,177.09,True
2070,6155,Outdoor Dish,Hardware Failure,High,-64.93720823798627,Erica Alvarado,Installation,2025-07-10 12:36:38.476169,2025-04-24 12:36:38.476169,62,Resolved,4.4,False,False,Senior,True,True,351.31,False
2071,2843,Hopper 2,Upgrade,Low,-65.0,Lisa Fitzpatrick,Equipment Support,2025-10-15 12:36:38.476169,2025-11-21 12:36:38.476169,16,In Progress,4.4,False,True,Expert,True,False,334.93,True
2072,2166,Joey,Signal Loss,Medium,-55.0,Jordan Lee,Sales,2026-01-18 12:36:38.476169,2024-04-11 12:36:38.476169,38,In Progress,3.3,False,False,Junior,True,True,243.54,True
2073,12068,Hopper 2,Upgrade,Critical,-34.0,Eric Ellis,Network Operations,2025-09-01 12:36:38.476169,2026-01-15 12:36:38.476169,22,Closed,3.9,False,False,Senior,False,True,362.01,False
2074,5487,Joey,Signal Loss,High,-51.0,Andrea White,Network Operations,2025-01-21 12:36:38.476169,2025-03-20 12:36:38.476169,10,Clsd,3.3,False,True,Junior,True,False,141.2,False
